City,Date,Day of Week,JoinID,MLBGame,MLB_Attendance,NBAGame,NBA_Attendance,NFLGame,NFL_Attendance,State
Dallas,2018-03-28,Wednesday,2018-03-28DallasTX,1,48538,0,0,0,0,TX
Dallas,2018-03-30,Friday,2018-03-30DallasTX,1,46238,0,0,0,0,TX
Dallas,2018-03-31,Saturday,2018-03-31DallasTX,1,36812,0,0,0,0,TX
Dallas,2018-04-01,Sunday,2018-04-01DallasTX,1,18056,0,0,0,0,TX
Dallas,2018-04-02,Monday,2018-04-02DallasTX,1,17907,0,0,0,0,TX
Dallas,2018-04-03,Tuesday,2018-04-03DallasTX,1,22265,0,0,0,0,TX
Dallas,2018-04-12,Thursday,2018-04-12DallasTX,1,24817,0,0,0,0,TX
Dallas,2018-04-14,Saturday,2018-04-14DallasTX,1,26350,0,0,0,0,TX
Dallas,2018-04-15,Sunday,2018-04-15DallasTX,1,18265,0,0,0,0,TX
Dallas,2018-04-16,Monday,2018-04-16DallasTX,1,17704,0,0,0,0,TX
Dallas,2018-04-17,Tuesday,2018-04-17DallasTX,1,16691,0,0,0,0,TX
Dallas,2018-04-19,Thursday,2018-04-19DallasTX,1,35649,0,0,0,0,TX
Dallas,2018-04-20,Friday,2018-04-20DallasTX,1,39636,0,0,0,0,TX
Dallas,2018-04-21,Saturday,2018-04-21DallasTX,1,26225,0,0,0,0,TX
Dallas,2018-04-30,Monday,2018-04-30DallasTX,1,18641,0,0,0,0,TX
Dallas,2018-05-01,Tuesday,2018-05-01DallasTX,1,23562,0,0,0,0,TX
Dallas,2018-05-03,Thursday,2018-05-03DallasTX,1,26179,0,0,0,0,TX
Dallas,2018-05-04,Friday,2018-05-04DallasTX,1,31787,0,0,0,0,TX
Dallas,2018-05-05,Saturday,2018-05-05DallasTX,1,30934,0,0,0,0,TX
Houston,2018-05-09,Wednesday,2018-05-09HoustonTX,1,26657,0,0,0,0,TX
Houston,2018-05-10,Thursday,2018-05-10HoustonTX,1,33023,0,0,0,0,TX
Houston,2018-05-11,Friday,2018-05-11HoustonTX,1,35849,0,0,0,0,TX
Houston,2018-05-12,Saturday,2018-05-12HoustonTX,1,41027,0,0,0,0,TX
Dallas,2018-05-17,Thursday,2018-05-17DallasTX,1,34398,0,0,0,0,TX
Dallas,2018-05-18,Friday,2018-05-18DallasTX,1,30967,0,0,0,0,TX
Dallas,2018-05-19,Saturday,2018-05-19DallasTX,1,32112,0,0,0,0,TX
Dallas,2018-05-20,Sunday,2018-05-20DallasTX,1,18796,0,0,0,0,TX
Dallas,2018-05-21,Monday,2018-05-21DallasTX,1,19157,0,0,0,0,TX
Dallas,2018-05-22,Tuesday,2018-05-22DallasTX,1,22400,0,0,0,0,TX
Dallas,2018-05-30,Wednesday,2018-05-30DallasTX,1,26202,0,0,0,0,TX
Dallas,2018-05-31,Thursday,2018-05-31DallasTX,1,31183,0,0,0,0,TX
Dallas,2018-06-01,Friday,2018-06-01DallasTX,1,27133,0,0,0,0,TX
Dallas,2018-06-02,Saturday,2018-06-02DallasTX,1,21891,0,0,0,0,TX
Dallas,2018-06-04,Monday,2018-06-04DallasTX,1,21903,0,0,0,0,TX
Dallas,2018-06-05,Tuesday,2018-06-05DallasTX,1,21163,0,0,0,0,TX
Dallas,2018-06-06,Wednesday,2018-06-06DallasTX,1,20462,0,0,0,0,TX
Dallas,2018-06-07,Thursday,2018-06-07DallasTX,1,25120,0,0,0,0,TX
Dallas,2018-06-08,Friday,2018-06-08DallasTX,1,22327,0,0,0,0,TX
Dallas,2018-06-08,Friday,2018-06-08DallasTX,1,39514,0,0,0,0,TX
Dallas,2018-06-09,Saturday,2018-06-09DallasTX,1,20358,0,0,0,0,TX
Dallas,2018-06-17,Sunday,2018-06-17DallasTX,1,20860,0,0,0,0,TX
Dallas,2018-06-18,Monday,2018-06-18DallasTX,1,19223,0,0,0,0,TX
Dallas,2018-06-19,Tuesday,2018-06-19DallasTX,1,22906,0,0,0,0,TX
Dallas,2018-06-20,Wednesday,2018-06-20DallasTX,1,18531,0,0,0,0,TX
Dallas,2018-06-21,Thursday,2018-06-21DallasTX,1,29333,0,0,0,0,TX
Dallas,2018-06-22,Friday,2018-06-22DallasTX,1,33582,0,0,0,0,TX
Dallas,2018-06-23,Saturday,2018-06-23DallasTX,1,21917,0,0,0,0,TX
Dallas,2018-07-02,Monday,2018-07-02DallasTX,1,20931,0,0,0,0,TX
Dallas,2018-07-03,Tuesday,2018-07-03DallasTX,1,28998,0,0,0,0,TX
Dallas,2018-07-04,Wednesday,2018-07-04DallasTX,1,45556,0,0,0,0,TX
Dallas,2018-07-11,Wednesday,2018-07-11DallasTX,1,37964,0,0,0,0,TX
Dallas,2018-07-12,Thursday,2018-07-12DallasTX,1,32322,0,0,0,0,TX
Dallas,2018-07-13,Friday,2018-07-13DallasTX,1,42452,0,0,0,0,TX
Dallas,2018-07-14,Saturday,2018-07-14DallasTX,1,27916,0,0,0,0,TX
Dallas,2018-07-16,Monday,2018-07-16DallasTX,1,19202,0,0,0,0,TX
Dallas,2018-07-17,Tuesday,2018-07-17DallasTX,1,26681,0,0,0,0,TX
Houston,2018-07-19,Thursday,2018-07-19HoustonTX,1,42287,0,0,0,0,TX
Houston,2018-07-20,Friday,2018-07-20HoustonTX,1,41643,0,0,0,0,TX
Houston,2018-07-21,Saturday,2018-07-21HoustonTX,1,37655,0,0,0,0,TX
Dallas,2018-07-30,Monday,2018-07-30DallasTX,1,20599,0,0,0,0,TX
Dallas,2018-07-31,Tuesday,2018-07-31DallasTX,1,22539,0,0,0,0,TX
Dallas,2018-08-02,Thursday,2018-08-02DallasTX,1,26884,0,0,0,0,TX
Dallas,2018-08-03,Friday,2018-08-03DallasTX,1,30292,0,0,0,0,TX
Dallas,2018-08-04,Saturday,2018-08-04DallasTX,1,18531,0,0,0,0,TX
Dallas,2018-08-15,Wednesday,2018-08-15DallasTX,1,20494,0,0,0,0,TX
Dallas,2018-08-16,Thursday,2018-08-16DallasTX,1,24742,0,0,0,0,TX
Dallas,2018-08-17,Friday,2018-08-17DallasTX,1,30136,0,0,0,0,TX
Dallas,2018-08-18,Saturday,2018-08-18DallasTX,1,18500,0,0,0,0,TX
Dallas,2018-08-19,Sunday,2018-08-19DallasTX,1,17326,0,0,0,0,TX
Dallas,2018-08-20,Monday,2018-08-20DallasTX,1,17429,0,0,0,0,TX
Dallas,2018-08-20,Monday,2018-08-20DallasTX,1,15638,0,0,0,0,TX
Dallas,2018-08-21,Tuesday,2018-08-21DallasTX,1,19565,0,0,0,0,TX
Dallas,2018-08-29,Wednesday,2018-08-29DallasTX,1,16591,0,0,0,0,TX
Dallas,2018-08-30,Thursday,2018-08-30DallasTX,1,23563,0,0,0,0,TX
Dallas,2018-08-31,Friday,2018-08-31DallasTX,1,33668,0,0,0,0,TX
Dallas,2018-09-01,Saturday,2018-09-01DallasTX,1,22116,0,0,0,0,TX
Dallas,2018-09-10,Monday,2018-09-10DallasTX,1,18467,0,0,0,0,TX
Dallas,2018-09-11,Tuesday,2018-09-11DallasTX,1,19746,0,0,0,0,TX
Dallas,2018-09-12,Wednesday,2018-09-12DallasTX,1,18222,0,0,0,0,TX
Dallas,2018-09-13,Thursday,2018-09-13DallasTX,1,27813,0,0,0,0,TX
Dallas,2018-09-14,Friday,2018-09-14DallasTX,1,31928,0,0,0,0,TX
Dallas,2018-09-15,Saturday,2018-09-15DallasTX,1,26064,0,0,0,0,TX
Houston,2018-09-17,Monday,2018-09-17HoustonTX,1,39650,0,0,0,0,TX
Houston,2018-09-18,Tuesday,2018-09-18HoustonTX,1,38417,0,0,0,0,TX
Dallas,2018-09-24,Monday,2018-09-24DallasTX,1,23341,0,0,0,0,TX
Dallas,2018-09-25,Tuesday,2018-09-25DallasTX,1,29290,0,0,0,0,TX
Dallas,2018-09-26,Wednesday,2018-09-26DallasTX,1,24612,0,0,0,0,TX
Dallas,2018-09-27,Thursday,2018-09-27DallasTX,1,35168,0,0,0,0,TX
Dallas,2018-09-28,Friday,2018-09-28DallasTX,1,42870,0,0,0,0,TX
Dallas,2018-09-29,Saturday,2018-09-29DallasTX,1,47144,0,0,0,0,TX
Dallas,2019-03-28,Thursday,2019-03-28DallasTX,1,48538,0,0,0,0,TX
Dallas,2019-03-30,Saturday,2019-03-30DallasTX,1,46238,0,0,0,0,TX
Dallas,2019-03-31,Sunday,2019-03-31DallasTX,1,36812,0,0,0,0,TX
Dallas,2019-04-01,Monday,2019-04-01DallasTX,1,18056,0,0,0,0,TX
Dallas,2019-04-02,Tuesday,2019-04-02DallasTX,1,17907,0,0,0,0,TX
Dallas,2019-04-03,Wednesday,2019-04-03DallasTX,1,22265,0,0,0,0,TX
Dallas,2019-04-12,Friday,2019-04-12DallasTX,1,24817,0,0,0,0,TX
Dallas,2019-04-14,Sunday,2019-04-14DallasTX,1,26350,0,0,0,0,TX
Dallas,2019-04-15,Monday,2019-04-15DallasTX,1,18265,0,0,0,0,TX
Dallas,2019-04-16,Tuesday,2019-04-16DallasTX,1,17704,0,0,0,0,TX
Dallas,2019-04-17,Wednesday,2019-04-17DallasTX,1,16691,0,0,0,0,TX
Dallas,2019-04-19,Friday,2019-04-19DallasTX,1,35649,0,0,0,0,TX
Dallas,2019-04-20,Saturday,2019-04-20DallasTX,1,39636,0,0,0,0,TX
Dallas,2019-04-21,Sunday,2019-04-21DallasTX,1,26225,0,0,0,0,TX
Dallas,2019-04-30,Tuesday,2019-04-30DallasTX,1,18641,0,0,0,0,TX
Dallas,2019-05-01,Wednesday,2019-05-01DallasTX,1,23562,0,0,0,0,TX
Dallas,2019-05-03,Friday,2019-05-03DallasTX,1,26179,0,0,0,0,TX
Dallas,2019-05-04,Saturday,2019-05-04DallasTX,1,31787,0,0,0,0,TX
Dallas,2019-05-05,Sunday,2019-05-05DallasTX,1,30934,0,0,0,0,TX
Houston,2019-05-09,Thursday,2019-05-09HoustonTX,1,26657,0,0,0,0,TX
Houston,2019-05-10,Friday,2019-05-10HoustonTX,1,33023,0,0,0,0,TX
Houston,2019-05-11,Saturday,2019-05-11HoustonTX,1,35849,0,0,0,0,TX
Houston,2019-05-12,Sunday,2019-05-12HoustonTX,1,41027,0,0,0,0,TX
Dallas,2019-05-17,Friday,2019-05-17DallasTX,1,34398,0,0,0,0,TX
Dallas,2019-05-18,Saturday,2019-05-18DallasTX,1,30967,0,0,0,0,TX
Dallas,2019-05-19,Sunday,2019-05-19DallasTX,1,32112,0,0,0,0,TX
Dallas,2019-05-20,Monday,2019-05-20DallasTX,1,18796,0,0,0,0,TX
Dallas,2019-05-21,Tuesday,2019-05-21DallasTX,1,19157,0,0,0,0,TX
Dallas,2019-05-22,Wednesday,2019-05-22DallasTX,1,22400,0,0,0,0,TX
Dallas,2019-05-30,Thursday,2019-05-30DallasTX,1,26202,0,0,0,0,TX
Dallas,2019-05-31,Friday,2019-05-31DallasTX,1,31183,0,0,0,0,TX
Dallas,2019-06-01,Saturday,2019-06-01DallasTX,1,27133,0,0,0,0,TX
Dallas,2019-06-02,Sunday,2019-06-02DallasTX,1,21891,0,0,0,0,TX
Dallas,2019-06-04,Tuesday,2019-06-04DallasTX,1,21903,0,0,0,0,TX
Dallas,2019-06-05,Wednesday,2019-06-05DallasTX,1,21163,0,0,0,0,TX
Dallas,2019-06-06,Thursday,2019-06-06DallasTX,1,20462,0,0,0,0,TX
Dallas,2019-06-07,Friday,2019-06-07DallasTX,1,25120,0,0,0,0,TX
Dallas,2019-06-08,Saturday,2019-06-08DallasTX,1,22327,0,0,0,0,TX
Dallas,2019-06-08,Saturday,2019-06-08DallasTX,1,39514,0,0,0,0,TX
Dallas,2019-06-09,Sunday,2019-06-09DallasTX,1,20358,0,0,0,0,TX
Dallas,2019-06-17,Monday,2019-06-17DallasTX,1,20860,0,0,0,0,TX
Dallas,2019-06-18,Tuesday,2019-06-18DallasTX,1,19223,0,0,0,0,TX
Dallas,2019-06-19,Wednesday,2019-06-19DallasTX,1,22906,0,0,0,0,TX
Dallas,2019-06-20,Thursday,2019-06-20DallasTX,1,18531,0,0,0,0,TX
Dallas,2019-06-21,Friday,2019-06-21DallasTX,1,29333,0,0,0,0,TX
Dallas,2019-06-22,Saturday,2019-06-22DallasTX,1,33582,0,0,0,0,TX
Dallas,2019-06-23,Sunday,2019-06-23DallasTX,1,21917,0,0,0,0,TX
Dallas,2019-07-02,Tuesday,2019-07-02DallasTX,1,20931,0,0,0,0,TX
Dallas,2019-07-03,Wednesday,2019-07-03DallasTX,1,28998,0,0,0,0,TX
Dallas,2019-07-04,Thursday,2019-07-04DallasTX,1,45556,0,0,0,0,TX
Dallas,2019-07-11,Thursday,2019-07-11DallasTX,1,37964,0,0,0,0,TX
Dallas,2019-07-12,Friday,2019-07-12DallasTX,1,32322,0,0,0,0,TX
Dallas,2019-07-13,Saturday,2019-07-13DallasTX,1,42452,0,0,0,0,TX
Dallas,2019-07-14,Sunday,2019-07-14DallasTX,1,27916,0,0,0,0,TX
Dallas,2019-07-16,Tuesday,2019-07-16DallasTX,1,19202,0,0,0,0,TX
Dallas,2019-07-17,Wednesday,2019-07-17DallasTX,1,26681,0,0,0,0,TX
Houston,2019-07-19,Friday,2019-07-19HoustonTX,1,42287,0,0,0,0,TX
Houston,2019-07-20,Saturday,2019-07-20HoustonTX,1,41643,0,0,0,0,TX
Houston,2019-07-21,Sunday,2019-07-21HoustonTX,1,37655,0,0,0,0,TX
Dallas,2019-07-30,Tuesday,2019-07-30DallasTX,1,20599,0,0,0,0,TX
Dallas,2019-07-31,Wednesday,2019-07-31DallasTX,1,22539,0,0,0,0,TX
Dallas,2019-08-02,Friday,2019-08-02DallasTX,1,26884,0,0,0,0,TX
Dallas,2019-08-03,Saturday,2019-08-03DallasTX,1,30292,0,0,0,0,TX
Dallas,2019-08-04,Sunday,2019-08-04DallasTX,1,18531,0,0,0,0,TX
Dallas,2019-08-15,Thursday,2019-08-15DallasTX,1,20494,0,0,0,0,TX
Dallas,2019-08-16,Friday,2019-08-16DallasTX,1,24742,0,0,0,0,TX
Dallas,2019-08-17,Saturday,2019-08-17DallasTX,1,30136,0,0,0,0,TX
Dallas,2019-08-18,Sunday,2019-08-18DallasTX,1,18500,0,0,0,0,TX
Dallas,2019-08-19,Monday,2019-08-19DallasTX,1,17326,0,0,0,0,TX
Dallas,2019-08-20,Tuesday,2019-08-20DallasTX,1,17429,0,0,0,0,TX
Dallas,2019-08-20,Tuesday,2019-08-20DallasTX,1,15638,0,0,0,0,TX
Dallas,2019-08-21,Wednesday,2019-08-21DallasTX,1,19565,0,0,0,0,TX
Dallas,2019-08-29,Thursday,2019-08-29DallasTX,1,16591,0,0,0,0,TX
Dallas,2019-08-30,Friday,2019-08-30DallasTX,1,23563,0,0,0,0,TX
Dallas,2019-08-31,Saturday,2019-08-31DallasTX,1,33668,0,0,0,0,TX
Dallas,2019-09-01,Sunday,2019-09-01DallasTX,1,22116,0,0,0,0,TX
Dallas,2019-09-10,Tuesday,2019-09-10DallasTX,1,18467,0,0,0,0,TX
Dallas,2019-09-11,Wednesday,2019-09-11DallasTX,1,19746,0,0,0,0,TX
Dallas,2019-09-12,Thursday,2019-09-12DallasTX,1,18222,0,0,0,0,TX
Dallas,2019-09-13,Friday,2019-09-13DallasTX,1,27813,0,0,0,0,TX
Dallas,2019-09-14,Saturday,2019-09-14DallasTX,1,31928,0,0,0,0,TX
Dallas,2019-09-15,Sunday,2019-09-15DallasTX,1,26064,0,0,0,0,TX
Houston,2019-09-17,Tuesday,2019-09-17HoustonTX,1,39650,0,0,0,0,TX
Houston,2019-09-18,Wednesday,2019-09-18HoustonTX,1,38417,0,0,0,0,TX
Dallas,2019-09-24,Tuesday,2019-09-24DallasTX,1,23341,0,0,0,0,TX
Dallas,2019-09-25,Wednesday,2019-09-25DallasTX,1,29290,0,0,0,0,TX
Dallas,2019-09-26,Thursday,2019-09-26DallasTX,1,24612,0,0,0,0,TX
Dallas,2019-09-27,Friday,2019-09-27DallasTX,1,35168,0,0,0,0,TX
Dallas,2019-09-28,Saturday,2019-09-28DallasTX,1,42870,0,0,0,0,TX
Dallas,2019-09-29,Sunday,2019-09-29DallasTX,1,47144,0,0,0,0,TX
Houston,2017-04-03,Monday,2017-04-03HoustonTX,1,41678,0,0,0,0,TX
Houston,2017-04-04,Tuesday,2017-04-04HoustonTX,1,21406,0,0,0,0,TX
Houston,2017-04-05,Wednesday,2017-04-05HoustonTX,1,20303,0,0,0,0,TX
Houston,2017-04-06,Thursday,2017-04-06HoustonTX,1,18362,0,0,0,0,TX
Houston,2017-04-07,Friday,2017-04-07HoustonTX,1,30491,0,0,0,0,TX
Houston,2017-04-08,Saturday,2017-04-08HoustonTX,1,35373,0,0,0,0,TX
Houston,2017-04-09,Sunday,2017-04-09HoustonTX,1,32411,0,0,0,0,TX
Houston,2017-04-17,Monday,2017-04-17HoustonTX,1,23501,0,0,0,0,TX
Houston,2017-04-18,Tuesday,2017-04-18HoustonTX,1,21760,0,0,0,0,TX
Houston,2017-04-19,Wednesday,2017-04-19HoustonTX,1,24028,0,0,0,0,TX
Houston,2017-04-20,Thursday,2017-04-20HoustonTX,1,23173,0,0,0,0,TX
Houston,2017-04-28,Friday,2017-04-28HoustonTX,1,28472,0,0,0,0,TX
Houston,2017-04-29,Saturday,2017-04-29HoustonTX,1,32147,0,0,0,0,TX
Houston,2017-04-30,Sunday,2017-04-30HoustonTX,1,34880,0,0,0,0,TX
Houston,2017-05-01,Monday,2017-05-01HoustonTX,1,22556,0,0,0,0,TX
Houston,2017-05-02,Tuesday,2017-05-02HoustonTX,1,26208,0,0,0,0,TX
Houston,2017-05-03,Wednesday,2017-05-03HoustonTX,1,27439,0,0,0,0,TX
Houston,2017-05-04,Thursday,2017-05-04HoustonTX,1,27391,0,0,0,0,TX
Houston,2017-05-09,Tuesday,2017-05-09HoustonTX,1,28724,0,0,0,0,TX
Houston,2017-05-10,Wednesday,2017-05-10HoustonTX,1,23676,0,0,0,0,TX
Miami,2017-05-15,Monday,2017-05-15MiamiFL,1,16448,0,0,0,0,FL
Miami,2017-05-16,Tuesday,2017-05-16MiamiFL,1,18056,0,0,0,0,FL
Miami,2017-05-17,Wednesday,2017-05-17MiamiFL,1,24699,0,0,0,0,FL
Houston,2017-05-19,Friday,2017-05-19HoustonTX,1,36446,0,0,0,0,TX
Houston,2017-05-20,Saturday,2017-05-20HoustonTX,1,34698,0,0,0,0,TX
Houston,2017-05-21,Sunday,2017-05-21HoustonTX,1,33476,0,0,0,0,TX
Houston,2017-05-22,Monday,2017-05-22HoustonTX,1,22146,0,0,0,0,TX
Houston,2017-05-23,Tuesday,2017-05-23HoustonTX,1,23179,0,0,0,0,TX
Houston,2017-05-24,Wednesday,2017-05-24HoustonTX,1,26481,0,0,0,0,TX
Houston,2017-05-25,Thursday,2017-05-25HoustonTX,1,25046,0,0,0,0,TX
Houston,2017-05-26,Friday,2017-05-26HoustonTX,1,31380,0,0,0,0,TX
Houston,2017-05-27,Saturday,2017-05-27HoustonTX,1,32761,0,0,0,0,TX
Houston,2017-05-28,Sunday,2017-05-28HoustonTX,1,34720,0,0,0,0,TX
Dallas,2017-06-02,Friday,2017-06-02DallasTX,1,39729,0,0,0,0,TX
Dallas,2017-06-03,Saturday,2017-06-03DallasTX,1,44168,0,0,0,0,TX
Dallas,2017-06-04,Sunday,2017-06-04DallasTX,1,39204,0,0,0,0,TX
Houston,2017-06-09,Friday,2017-06-09HoustonTX,1,40786,0,0,0,0,TX
Houston,2017-06-10,Saturday,2017-06-10HoustonTX,1,41296,0,0,0,0,TX
Houston,2017-06-11,Sunday,2017-06-11HoustonTX,1,32425,0,0,0,0,TX
Houston,2017-06-12,Monday,2017-06-12HoustonTX,1,25698,0,0,0,0,TX
Houston,2017-06-13,Tuesday,2017-06-13HoustonTX,1,27615,0,0,0,0,TX
Houston,2017-06-14,Wednesday,2017-06-14HoustonTX,1,37221,0,0,0,0,TX
Houston,2017-06-16,Friday,2017-06-16HoustonTX,1,36189,0,0,0,0,TX
Houston,2017-06-17,Saturday,2017-06-17HoustonTX,1,41017,0,0,0,0,TX
Houston,2017-06-18,Sunday,2017-06-18HoustonTX,1,38389,0,0,0,0,TX
Houston,2017-06-27,Tuesday,2017-06-27HoustonTX,1,28312,0,0,0,0,TX
Houston,2017-06-28,Wednesday,2017-06-28HoustonTX,1,34075,0,0,0,0,TX
Houston,2017-06-29,Thursday,2017-06-29HoustonTX,1,29509,0,0,0,0,TX
Houston,2017-06-30,Friday,2017-06-30HoustonTX,1,40024,0,0,0,0,TX
Houston,2017-07-01,Saturday,2017-07-01HoustonTX,1,41010,0,0,0,0,TX
Houston,2017-07-02,Sunday,2017-07-02HoustonTX,1,41761,0,0,0,0,TX
Atlanta,2017-07-04,Tuesday,2017-07-04AtlantaGA,1,41456,0,0,0,0,GA
Atlanta,2017-07-05,Wednesday,2017-07-05AtlantaGA,1,37278,0,0,0,0,GA
Houston,2017-07-14,Friday,2017-07-14HoustonTX,1,38006,0,0,0,0,TX
Houston,2017-07-15,Saturday,2017-07-15HoustonTX,1,41038,0,0,0,0,TX
Houston,2017-07-16,Sunday,2017-07-16HoustonTX,1,38253,0,0,0,0,TX
Houston,2017-07-17,Monday,2017-07-17HoustonTX,1,24701,0,0,0,0,TX
Houston,2017-07-18,Tuesday,2017-07-18HoustonTX,1,27111,0,0,0,0,TX
